11_11075	ABC03430-1-1-265
12_30709	U32_7525_608
12_30710	U32_7545_543
12_30714	U32_7632_376
12_30715	U32_7636_1701
12_30716	U32_7646_842
12_30717	U32_776_772
12_30718	U32_7764_707
12_30719	U32_7806_279
12_30721	U32_7845_180
12_30723	U32_7875_471
12_30724	U32_7924_529
12_30728	U32_8039_444
12_30729	U32_8054_311
12_30732	U32_8112_835
12_30734	U32_8114_521
12_30736	U32_8179_620
12_30737	U32_8184_522
12_30742	U32_825_2405
12_30743	U32_8250_891
12_30744	U32_8279_1290
12_30745	U32_8283_825
12_30747	U32_8334_579
12_30748	U32_8340_356
12_30749	U32_8394_291
12_30750	U32_8403_383
12_30751	U32_8416_272
12_30752	U32_8480_522
12_30753	U32_8495_216
12_30754	U32_8513_567
12_30755	U32_8515_734
12_30759	U32_8565_505
12_30760	U32_8595_1087
12_30761	U32_8639_921
12_30762	U32_8648_439
12_30764	U32_87_319
12_30765	U32_8718_552
12_30767	U32_8797_283
12_30768	U32_8820_286
12_30769	U32_8845_393
12_30772	U32_8961_658
12_30774	U32_8995_706
12_30775	U32_9035_229
12_30777	U32_9068_460
12_30780	U32_9116_126
12_30781	U32_9193_552
12_30782	U32_9299_278
12_30783	U32_9302_310
12_30785	U32_9354_684
12_30786	U32_9376_522
12_30787	U32_9389_296
12_30788	U32_9413_179
12_30790	U32_947_618
12_30792	U32_9489_168
12_30793	U32_9521_149
12_30794	U32_9567_186
12_30795	U32_9572_566
12_30796	U32_9600_655
12_30797	U32_9614_416
12_30799	U32_9692_429
12_30802	U32_979_915
12_30804	U32_9797_1113
12_30806	U32_9828_126
12_30809	U32_9921_310
12_30817	ISU_MLA_949
12_30818	OSU_Aglu2_475
12_30821	OSU_Aglu3_536
12_30822	OSU_Aglu5_126
12_30823	OSU_Aglu5_366
12_30824	OSU_Bmy1_115_142
12_30825	OSU_Bmy1_165_255
12_30826	OSU_CAT1_200
12_30827	OSU_CAT1_77
12_30828	OSU_Contig1559_at_82
12_30829	OSU_Contig2595_at_152
12_30832	OSU_Contig3654_s_at_103
12_30833	OSU_Contig3878_at_69
12_30835	OSU_Contig742_at_365
12_30837	OSU_Contig8695_at_89
12_30838	OSU_Contig8860_at_167
12_30839	OSU_DTDP_237
12_30842	OSU_HA16L09r_s_at_77
12_30843	OSU_HSP70_429
12_30844	OSU_HVCBF1_272
12_30845	OSU_HVCBF10B_636
12_30846	OSU_HVCBF12_520
12_30848	OSU_HVCBF3_808
12_30849	OSU_HVCBF4A_606
12_30850	OSU_HVCBF4A_875
12_30852	OSU_HVCBF6_851
12_30853	OSU_HVCBF8C_923
12_30854	OSU_HVCBF9_907
12_30855	OSU_HVCBF9_988
12_30856	OSU_HvCry1a_312
12_30857	OSU_HvCry2_1031
12_30858	OSU_HvCry2_41
12_30859	OSU_HvCry2_489
12_30861	OSU_HvKCO1_425
12_30863	OSU_HvPhyA_123
12_30864	OSU_HvPhyA_3050
12_30865	OSU_HvPhyA_345
12_30866	OSU_HvPhyB_2292
12_30867	OSU_HvPhyC_1089
12_30868	OSU_HvPhyC_3796
12_30869	OSU_HvPhyC_4695
12_30870	OSU_HvPRR7_1870
12_30871	OSU_HvPRR7_2748
12_30872	OSU_HvPRR7_324
12_30873	OSU_HvSNF2_212
12_30876	OSU_HvZFP16_1_711
12_30877	OSU_HvZFP16_1_883
12_30878	OSU_PDI_995
12_30880	OSU_SS1_201
12_30882	OSU_VRN_H1_BM5A_intron1_vc_230
12_30883	OSU_VRN_H1_BM5A_intron1_vc_80
12_30884	OSU_VRN_H2_ZCCT_Ha_1430
12_30886	OSU_VRN_H2_ZCCT_Ha_830
12_30889	OSU_VRN_H2_ZCCT_Hb_1580
12_30891	OSU_VRN_H2_ZCCT_Hb_80
12_30892	OSU_VRN_H2_ZCCT_Hc_80
12_30893	OSU_VRN_H3_HvFT1_264
12_30894	OSU_VRN_H3_HvFT1_471
12_30895	OSU_VRN_H3_HvFT1_585
12_30896	OSU_VRS1_HvHox1_1156
12_30897	OSU_VRS1_HvHox1_260
12_30900	OSU_VRS1_HvHox1_587
12_30901	OSU_VRS1_HvHox1_802
12_30902	OSU_Waxy_HvGBSSI_promoter_230
12_30904	SCRI_abc01646_01_1
12_30905	SCRI_abc01646_01_3
12_30906	SCRI_abc01646_02_1
12_30907	SCRI_abc01648_02_1
12_30908	SCRI_abc01653_01_1
12_30909	SCRI_abc01918_03_1
12_30914	SCRI_abc07356_01_1
12_30915	SCRI_abc07947_01_1
12_30916	SCRI_abc08244_01_1
12_30918	SCRI_abc15612_01_1
12_30919	SCRI_abc15612_01_2
12_30920	SCRI_abc16651_02_484
12_30921	SCRI_abc17007_02_1
12_30922	SCRI_abc18130_01_224
12_30923	SCRI_abc18130_01_380
12_30924	SCRI_abc21044_01_1
12_30926	SCRI_abc27575_01_1
12_30927	SCRI_aj420778_01_1
12_30929	SCRI_AY750993_SNP1_01
12_30930	SCRI_AY750993_SNP2_03
12_30933	SCRI_bbc00931_01_2
12_30934	SCRI_bbc01078_01_1
12_30935	SCRI_bbc01078_01_4
12_30939	SCRI_bbc01653_03_100
12_30940	SCRI_bbc01653_03_303
12_30941	SCRI_bbc01856_02_1
12_30942	SCRI_bbc02620_01_129
12_30944	SCRI_bbc03220_01_3
12_30945	SCRI_bbc03220_01_4
12_30948	SCRI_bbc04473_01_2
12_30950	SCRI_bbc05112_01_1
12_30951	SCRI_bbc05112_01_2
12_30952	SCRI_bbc05112_01_3
12_30953	SCRI_bbc06156_01_472
12_30955	SCRI_bbc07107_01_431
12_30956	SCRI_bbc07676_02_30
12_30958	SCRI_bbc08695_01_145
12_30959	SCRI_bbc09137_03_152
12_30960	SCRI_bbc09200_01_110
12_30962	SCRI_bbc10318_01_307
12_30963	SCRI_bbc11945_01_349
12_30965	SCRI_bbc11979_01_216
12_30966	SCRI_bbc11987_01_482
12_30967	SCRI_bbc13095_01_469
12_30968	SCRI_bbc15015_01_061
12_30969	SCRI_bbc15015_01_164
12_30972	SCRI_bbc21998_01_388
12_30973	SCRI_bbc30458_02_652
12_30974	SCRI_bbc32814_01_394
12_30975	SCRI_gsp_0137
12_30976	SCRI_gsp_0434
12_30977	SCRI_gsp_0998
12_30978	SCRI_hina_0180
12_30979	SCRI_hina_1061
12_30980	SCRI_hina_1231
12_30981	SCRI_hinb_0429
12_30982	SCRI_hinb_1127
12_30983	SCRI_hinb_1497
12_30984	SCRI_hinb_2135
12_30985	SCRI_hinb_2353
12_30987	SCRI_mlo_10267
12_30988	SCRI_mlo_10517
12_30989	SCRI_mlo_11315_mlo9
12_30990	SCRI_mlo_11679
12_30991	SCRI_MWG0852_04_130
12_30992	SCRI_olad_101
12_30993	SCRI_olad_109
12_30994	SCRI_olad_112_02
12_30995	SCRI_olad_118
12_30996	SCRI_olad_125_01
12_30997	SCRI_olad_130
12_30998	SCRI_olad_137_01
12_30999	SCRI_olad_138_01
12_31000	SCRI_olad_139_01
12_31002	SCRI_olad_144_01
12_31003	SCRI_olad_149_03
12_31005	SCRI_olad_156_02
12_31006	SCRI_olad_159
12_31007	SCRI_olad_168_08
12_31008	SCRI_olad_172
12_31009	SCRI_olad_176_03
12_31010	SCRI_olad_178_02
12_31011	SCRI_olad_179_02
12_31012	SCRI_olad_183
12_31014	SCRI_olad_193
12_31015	SCRI_olad_202_01
12_31016	SCRI_olad_204
12_31017	SCRI_olad_207
12_31018	SCRI_olad_217
12_31019	SCRI_olad_218_01
12_31020	SCRI_olad_220
12_31021	SCRI_olad_221_01
12_31022	SCRI_pg_0140
12_31023	SCRI_pg_0509
12_31026	UCI_Adh1_1279
12_31029	UCI_Adh2_215
12_31033	UCI_Adh3_1293
12_31034	UCI_Adh3_1592
12_31041	UCI_Dhn1_676
12_31042	UCI_Dhn5_1042
12_31043	UCI_Dhn5_124
12_31044	UCI_Dhn7_1221
12_31048	UCI_Dhn7_908
12_31050	UCI_Dhn9_449
12_31053	UCI_Faldh_686
12_31055	UCI_G3pdh_1662
12_31059	UCI_ORF1_1479
12_31062	UCI_Pepc_1116
12_31064	UCI_Pepc_996
12_31071	UCI_Waxy_906
12_31072	UM_RPG1_124
12_31075	UM_RPG1_614
12_31076	UM_RPG1_723
12_31077	UM_RPG1_836
12_31081	U35_1042_538
12_31084	U35_1106_1502
12_31086	U35_13670_733
12_31088	U35_13855_365
12_31092	U35_14244_456
12_31094	U35_14446_578
12_31095	U35_14464_179
12_31096	U35_14513_218
12_31099	U35_14649_107
12_31100	U35_1470_1376
12_31101	U35_14735_997
12_31105	U35_14833_523
12_31109	U35_15094_490
12_31110	U35_15138_653
12_31111	U35_15148_423
12_31115	U35_15335_1431
12_31117	U35_15437_940
12_31120	U35_15626_1421
12_31122	U35_15712_1129
12_31123	U35_15733_389
12_31124	U35_15762_326
12_31126	U35_15956_1489
12_31127	U35_15968_918
12_31128	U35_16020_1117
12_31134	U35_16274_1528
12_31137	U35_16352_549
12_31138	U35_16370_944
12_31139	U35_16371_1353
12_31140	U35_16372_92
12_31144	U35_16501_168
12_31148	U35_16572_1349
12_31149	U35_16668_351
12_31151	U35_16718_974
12_31152	U35_16827_1024
12_31155	U35_16881_1495
12_31156	U35_16908_1442
12_31159	U35_17005_1303
12_31160	U35_17015_1178
12_31161	U35_17018_659
12_31163	U35_1704_1053
12_31164	U35_17097_2008
12_31165	U35_17121_1510
12_31166	U35_17126_2201
12_31167	U35_17134_1227
12_31169	U35_17139_286
12_31170	U35_17143_651
12_31173	U35_17190_1792
12_31174	U35_17201_1074
12_31175	U35_17218_909
12_31177	U35_17276_547
12_31178	U35_17277_1661
12_31179	U35_17286_433
12_31180	U35_1730_917
12_31181	U35_17320_651
12_31182	U35_17400_807
12_31183	U35_17419_413
12_31186	U35_17521_1003
12_31188	U35_17547_2171
12_31189	U35_17630_293
12_31192	U35_17735_1334
12_31194	U35_17752_445
12_31198	U35_17820_409
12_31199	U35_17858_84
12_31200	U35_17867_877
12_31202	U35_17890_700
12_31203	U35_17900_973
12_31205	U35_17930_958
12_31206	U35_17942_828
12_31208	U35_17973_708
12_31209	U35_1801_2794
12_31210	U35_1803_604
12_31211	U35_18063_1739
12_31214	U35_18146_827
12_31217	U35_18172_820
12_31218	U35_18188_1004
12_31219	U35_18190_2071
12_31220	U35_18257_694
12_31221	U35_18258_220
12_31222	U35_18279_1331
12_31227	U35_1839_470
12_31229	U35_18413_437
12_31230	U35_18435_1737
12_31231	U35_18452_966
12_31232	U35_18491_1513
12_31233	U35_18515_421
12_31234	U35_18533_855
12_31235	U35_18561_1545
12_31237	U35_18649_1027
12_31238	U35_18691_432
12_31239	U35_18742_1218
12_31240	U35_18744_1468
12_31241	U35_18761_884
12_31242	U35_18763_863
12_31246	U35_18847_967
12_31249	U35_18879_1771
12_31250	U35_19005_402
12_31251	U35_19018_419
12_31252	U35_19042_573
12_31253	U35_19046_990
12_31254	U35_19107_766
12_31256	U35_1921_362
12_31257	U35_19217_393
12_31258	U35_19317_1010
12_31259	U35_19318_363
12_31261	U35_19382_606
12_31262	U35_19389_544
12_31264	U35_1943_367
12_31267	U35_19534_319
12_31268	U35_19537_1015
12_31269	U35_19549_639
12_31270	U35_19553_1161
12_31271	U35_19573_1049
12_31272	U35_19606_774
12_31274	U35_19635_673
12_31275	U35_19723_311
12_31276	U35_19740_954
12_31278	U35_19814_680
12_31279	U35_19819_1460
12_31280	U35_19843_1162
12_31281	U35_19929_559
12_31282	U35_19936_495
12_31283	U35_19999_392
12_31284	U35_20027_279
12_31285	U35_20056_364
12_31286	U35_20057_451
12_31288	U35_20266_369
12_31289	U35_20268_211
12_31291	U35_20336_628
12_31292	U35_20347_823
12_31293	U35_20358_497
12_31294	U35_20364_468
12_31295	U35_20425_450
12_31297	U35_20464_428
12_31298	U35_20488_650
12_31299	U35_20560_784
12_31300	U35_20591_995
12_31303	U35_208_577
12_31305	U35_20926_243
12_31308	U35_21048_1160
12_31310	U35_21353_552
12_31312	U35_21417_466
12_31313	U35_21422_326
12_31315	U35_2146_1416
12_31317	U35_21473_455
12_31319	U35_21782_494
12_31323	U35_21958_528
12_31324	U35_21988_580
12_31325	U35_22182_720
12_31326	U35_22247_66
12_31327	U35_22334_445
12_31329	U35_22627_571
12_31333	U35_2312_1490
12_31340	U35_2405_570
12_31345	U35_2483_1297
12_31346	U35_2539_392
12_31350	U35_2649_795
12_31351	U35_2705_1795
12_31352	U35_2757_804
12_31353	U35_2762_1119
12_31356	U35_2806_883
12_31357	U35_2812_1038
12_31359	U35_2831_840
12_31360	U35_2838_2243
12_31361	U35_2913_1944
12_31362	U35_2917_591
12_31366	U35_3029_481
12_31367	U35_3071_1164
12_31368	U35_3077_600
12_31372	U35_3151_1326
12_31374	U35_3205_2012
12_31375	U35_3226_1469
12_31377	U35_326_272
12_31381	U35_3371_1446
12_31382	U35_3372_1463
12_31383	U35_3378_1098
12_31385	U35_3389_293
12_31387	U35_3467_405
12_31388	U35_3483_585
12_31390	U35_3506_1313
12_31393	U35_3598_647
12_31394	U35_3611_1257
12_31395	U35_3673_590
12_31398	U35_3742_3272
12_31402	U35_3795_865
12_31404	U35_3810_482
12_31406	U35_3838_1716
12_31408	U35_3882_1631
12_31409	U35_3907_2125
12_31410	U35_3967_1626
12_31411	U35_3972_1205
12_31414	U35_4070_1490
12_31417	U35_4145_1152
12_31418	U35_4155_1282
12_31420	U35_425_1378
12_31422	U35_4290_1313
12_31423	U35_4321_768
12_31424	U35_4325_1058
12_31427	U35_4373_471
12_31428	U35_4378_173
12_31431	U35_4456_797
12_31432	U35_4470_378
12_31433	U35_4503_436
12_31440	U35_4712_928
12_31441	U35_4735_535
12_31444	U35_4847_495
12_31445	U35_4851_493
12_31446	U35_4853_243
12_31448	U35_4975_534
12_31450	U35_5079_499
12_31451	U35_5082_691
12_31452	U35_5090_830
12_31458	U35_5192_464
12_31461	U35_5285_326
12_31462	U35_5294_1121
12_31463	U35_5336_348
12_31464	U35_5351_865
12_31467	U35_5390_330
12_31473	U35_5502_1010
12_31474	U35_5503_883
12_31475	U35_5532_765
12_31479	U35_566_2493
12_31481	U35_5810_90
12_31484	U35_5904_393
12_31485	U35_5918_746
12_31486	U35_5927_1235
12_31487	U35_5984_342
12_31490	U35_6153_396
12_31491	U35_6155_393
12_31492	U35_623_856
12_31495	U35_6278_408
12_31496	U35_6407_219
12_31497	U35_6429_534
12_31498	U35_6439_860
12_31499	U35_6448_287
12_31500	U35_6520_551
12_31502	U35_6656_330
12_31503	U35_6668_364
12_31506	U35_6860_433
12_31509	U35_6987_324
12_31511	U35_708_412
12_31512	U35_7199_521
12_31513	U35_723_92
12_31515	U35_7276_733
12_31517	U35_7514_245
12_31519	U35_7692_431
12_31520	U35_7709_655
12_31521	U35_7768_454
12_31523	U35_7987_162
12_31525	U35_835_1187
12_31526	U35_8362_355
12_31527	U35_851_373
12_31528	U35_852_1274
12_31529	U35_8623_432
12_31535	U35_949_361
12_31536	U35_98_423
11_20009	10114-1946
11_10031	1094-801
11_10045	1164-2683
11_10052	1194-234
11_10057	1214-441
11_20127	12756-233
11_10081	1325-311
11_20151	1351-790
11_10104	1461-529
11_20179	1468-782
11_20189	15017-277
11_10132	1595-1107
11_20219	1624-606
11_20249	1792-372
11_10172	1827-958
11_10184	1898-580
11_20273	1961-287
11_10213	2017-635
11_20307	2148-498
11_10283	2346-318
11_10292	2395-2083
11_10293	2401-1028
11_10315	252-556
11_10332	2609-350
11_20443	2916-576
11_20452	2966-627
11_20487	314-559
11_10434	3204-811
11_20507	3233-444
11_20533	3356-243
11_10460	337-641
11_10466	3406-221
11_20570	3492-678
11_20582	3557-547
11_10501	36-178
11_20601	3659-525
11_10523	3704-1947
11_10528	3720-52
11_10531	3731-103
11_20642	3914-448
11_10574	3968-342
11_20652	3981-469
11_20666	4035-99
11_20700	4166-1090
11_10619	4212-57
11_10630	4266-387
11_10631	4270-184
11_20733	4374-609
11_20748	4467-374
11_20758	452-498
11_10729	5048-1685
11_20889	5172-926
11_10755	5286-486
11_20956	5547-294
11_10809	5889-1154
11_10814	596-1035
11_10833	6313-107
11_21086	6316-858
11_21148	6820-586
11_21188	7037-454
11_21192	7083-717
11_10920	7634-659
11_21253	7681-229
11_21266	7772-223
11_21289	7965-579
11_21299	8053-769
11_21308	8201-86
11_10974	847-1396
11_11014	943-3107
11_21423	9573-264
11_21425	9584-912
11_21427	9610-1195
11_11037	ABC00697-pHv3016
11_21459	ABC01791-1-1-110
11_11066	ABC02813-1-4-326
11_11068	ABC03024-1-3-368
11_11094	ABC04580-1-4-420
11_11110	ABC05236-1-10-217
11_11132	ABC06005-1-2-94
11_11179	ABC07611-1-5-315
11_11189	ABC08077-pHv131-02
11_11216	ABC09278-1-4-69
11_11223	ABC09402-1-2-275
11_11229	ABC09662-1-3-352
11_21490	ABC09891-1-1-28
11_11244	ABC10254-1-2-250
11_21491	ABC10361-1-3-316
11_21494	ABC10700-2-2-65
11_11290	ABC11984-1-2-158
11_11345	ABC14522-1-8-350
11_11381	ABC17471-1-3-78
11_21509	ABC17957-1-2-231
11_11391	ABC18717-1-3-215
11_21514	ABC20733-1-7-311
11_21516	ConsensusGBS0018-3
11_21517	ConsensusGBS0043-8
11_11448	ConsensusGBS0138-2
11_11456	ConsensusGBS0234-1
11_11464	ConsensusGBS0269-1
11_21533	ConsensusGBS0598-3
11_11521	ConsensusGBS0647-4
11_11522	ConsensusGBS0651-2
